Epoch [5/250], Progress: 4/13, Train Loss: 0.0746
Epoch [5/250], Progress: 5/13, Train Loss: 0.0701
Epoch [5/250], Progress: 6/13, Train Loss: 0.6711
Epoch [5/250], Progress: 7/13, Train Loss: 0.1120
Epoch [5/250], Progress: 8/13, Train Loss: 0.5092
Epoch [5/250], Progress: 9/13, Train Loss: 0.2016
Epoch [5/250], Progress: 10/13, Train Loss: 0.0838
Epoch [5/250], Progress: 11/13, Train Loss: 0.0338
Epoch [5/250], Progress: 12/13, Train Loss: 0.5605
Epoch [5/250], Progress: 13/13, Train Loss: 0.0710
Epoch [5/250], Train Loss: 0.2311, Validation Loss: 0.1590

Epoch [6/250], Progress: 1/13, Train Loss: 0.1313
Epoch [6/250], Progress: 2/13, Train Loss: 0.1980
Epoch [6/250], Progress: 3/13, Train Loss: 0.0692
Epoch [6/250], Progress: 4/13, Train Loss: 0.0820
Epoch [6/250], Progress: 5/13, Train Loss: 0.1008
Epoch [6/250], Progress: 6/13, Train Loss: 0.2841
Epoch [6/250], Progress: 7/13, Train Loss: 0.8468
Epoch [6/250], Progress: 8/13, Train Loss: 0.0881
Epoch [6/250], Progress: 9/13, Train Loss: 0.0799
Epoch [6/250], Progress: 10/13, Train Loss: 0.9657
Epoch [6/250], Progress: 11/13, Train Loss: 0.1888
Epoch [6/250], Progress: 12/13, Train Loss: 0.2711
Epoch [6/250], Progress: 13/13, Train Loss: 0.0204
Epoch [6/250], Train Loss: 0.2559, Validation Loss: 0.1202

Epoch [7/250], Progress: 1/13, Train Loss: 0.1413
Epoch [7/250], Progress: 2/13, Train Loss: 0.0730
Epoch [7/250], Progress: 3/13, Train Loss: 0.2639
Epoch [7/250], Progress: 4/13, Train Loss: 0.1229
Epoch [7/250], Progress: 5/13, Train Loss: 0.0553
Epoch [7/250], Progress: 6/13, Train Loss: 0.0415
Epoch [7/250], Progress: 7/13, Train Loss: 0.0293
Epoch [7/250], Progress: 8/13, Train Loss: 0.4025
Epoch [7/250], Progress: 9/13, Train Loss: 0.4925
Epoch [7/250], Progress: 10/13, Train Loss: 0.4542
Epoch [7/250], Progress: 11/13, Train Loss: 0.0998
Epoch [7/250], Progress: 12/13, Train Loss: 0.6831
Epoch [7/250], Progress: 13/13, Train Loss: 0.1073
Epoch [7/250], Train Loss: 0.2282, Validation Loss: 0.1086

Epoch [8/250], Progress: 1/13, Train Loss: 3.2415
Epoch [8/250], Progress: 2/13, Train Loss: 0.0765
Epoch [8/250], Progress: 3/13, Train Loss: 0.0789
Epoch [8/250], Progress: 4/13, Train Loss: 0.2485
Epoch [8/250], Progress: 5/13, Train Loss: 0.0433
Epoch [8/250], Progress: 6/13, Train Loss: 0.0652
Epoch [8/250], Progress: 7/13, Train Loss: 1.1615
Epoch [8/250], Progress: 8/13, Train Loss: 0.4426
Epoch [8/250], Progress: 9/13, Train Loss: 0.0087
Epoch [8/250], Progress: 10/13, Train Loss: 0.3091
Epoch [8/250], Progress: 11/13, Train Loss: 0.0954
Epoch [8/250], Progress: 12/13, Train Loss: 0.3836
Epoch [8/250], Progress: 13/13, Train Loss: 0.0269
Epoch [8/250], Train Loss: 0.4755, Validation Loss: 0.0944

Epoch [9/250], Progress: 1/13, Train Loss: 0.1370
Epoch [9/250], Progress: 2/13, Train Loss: 0.4404
Epoch [9/250], Progress: 3/13, Train Loss: 0.1430
Epoch [9/250], Progress: 4/13, Train Loss: 0.0597
Epoch [9/250], Progress: 5/13, Train Loss: 0.1670
Epoch [9/250], Progress: 6/13, Train Loss: 0.0449
Epoch [9/250], Progress: 7/13, Train Loss: 0.0205
Epoch [9/250], Progress: 8/13, Train Loss: 0.9200
Epoch [9/250], Progress: 9/13, Train Loss: 0.3774
Epoch [9/250], Progress: 10/13, Train Loss: 0.0911
Epoch [9/250], Progress: 11/13, Train Loss: 0.0274
Epoch [9/250], Progress: 12/13, Train Loss: 0.4878
Epoch [9/250], Progress: 13/13, Train Loss: 0.3632
Epoch [9/250], Train Loss: 0.2523, Validation Loss: 0.0780

Epoch [10/250], Progress: 1/13, Train Loss: 0.0179
Epoch [10/250], Progress: 2/13, Train Loss: 0.4569
Epoch [10/250], Progress: 3/13, Train Loss: 0.1229
Epoch [10/250], Progress: 4/13, Train Loss: 0.2321
Epoch [10/250], Progress: 5/13, Train Loss: 0.3338
Epoch [10/250], Progress: 6/13, Train Loss: 0.1469
Epoch [10/250], Progress: 7/13, Train Loss: 0.0605
Epoch [10/250], Progress: 8/13, Train Loss: 0.2183
Epoch [10/250], Progress: 9/13, Train Loss: 0.2424
Epoch [10/250], Progress: 10/13, Train Loss: 0.0336
Epoch [10/250], Progress: 11/13, Train Loss: 0.0160
Epoch [10/250], Progress: 12/13, Train Loss: 0.2621
Epoch [10/250], Progress: 13/13, Train Loss: 0.6359
Epoch [10/250], Train Loss: 0.2138, Validation Loss: 0.0742

Epoch [11/250], Progress: 1/13, Train Loss: 2.0462
Epoch [11/250], Progress: 2/13, Train Loss: 0.1376
Epoch [11/250], Progress: 3/13, Train Loss: 0.1827
Epoch [11/250], Progress: 4/13, Train Loss: 0.1718
Epoch [11/250], Progress: 5/13, Train Loss: 0.5804
Epoch [11/250], Progress: 6/13, Train Loss: 0.1667
Epoch [11/250], Progress: 7/13, Train Loss: 0.1920
Epoch [11/250], Progress: 8/13, Train Loss: 0.0389
Epoch [11/250], Progress: 9/13, Train Loss: 0.0718
Epoch [11/250], Progress: 10/13, Train Loss: 0.0049
Epoch [11/250], Progress: 11/13, Train Loss: 0.0403
Epoch [11/250], Progress: 12/13, Train Loss: 0.0295
Epoch [11/250], Progress: 13/13, Train Loss: 0.3908
Epoch [11/250], Train Loss: 0.3118, Validation Loss: 0.0650

