Epoch [5/250], Progress: 4/13, Train Loss: 1.8460
Epoch [5/250], Progress: 5/13, Train Loss: 1.1592
Epoch [5/250], Progress: 6/13, Train Loss: 0.5481
Epoch [5/250], Progress: 7/13, Train Loss: 0.2071
Epoch [5/250], Progress: 8/13, Train Loss: 0.6038
Epoch [5/250], Progress: 9/13, Train Loss: 0.0446
Epoch [5/250], Progress: 10/13, Train Loss: 1.2732
Epoch [5/250], Progress: 11/13, Train Loss: 2.5376
Epoch [5/250], Progress: 12/13, Train Loss: 0.8657
Epoch [5/250], Progress: 13/13, Train Loss: 0.3150
Epoch [5/250], Train Loss: 0.8112, Validation Loss: 0.3802

Epoch [6/250], Progress: 1/13, Train Loss: 0.5769
Epoch [6/250], Progress: 2/13, Train Loss: 0.4679
Epoch [6/250], Progress: 3/13, Train Loss: 0.4183
Epoch [6/250], Progress: 4/13, Train Loss: 0.2992
Epoch [6/250], Progress: 5/13, Train Loss: 1.0591
Epoch [6/250], Progress: 6/13, Train Loss: 0.2096
Epoch [6/250], Progress: 7/13, Train Loss: 1.4957
Epoch [6/250], Progress: 8/13, Train Loss: 0.3795
Epoch [6/250], Progress: 9/13, Train Loss: 1.5770
Epoch [6/250], Progress: 10/13, Train Loss: 1.2151
Epoch [6/250], Progress: 11/13, Train Loss: 0.5205
Epoch [6/250], Progress: 12/13, Train Loss: 0.9582
Epoch [6/250], Progress: 13/13, Train Loss: 0.2751
Epoch [6/250], Train Loss: 0.7271, Validation Loss: 0.3345

Epoch [7/250], Progress: 1/13, Train Loss: 0.3359
Epoch [7/250], Progress: 2/13, Train Loss: 0.1454
Epoch [7/250], Progress: 3/13, Train Loss: 0.1713
Epoch [7/250], Progress: 4/13, Train Loss: 1.2858
Epoch [7/250], Progress: 5/13, Train Loss: 0.4079
Epoch [7/250], Progress: 6/13, Train Loss: 2.2538
Epoch [7/250], Progress: 7/13, Train Loss: 0.1754
Epoch [7/250], Progress: 8/13, Train Loss: 0.3960
Epoch [7/250], Progress: 9/13, Train Loss: 0.1243
Epoch [7/250], Progress: 10/13, Train Loss: 0.4348
Epoch [7/250], Progress: 11/13, Train Loss: 0.1502
Epoch [7/250], Progress: 12/13, Train Loss: 0.2021
Epoch [7/250], Progress: 13/13, Train Loss: 1.7246
Epoch [7/250], Train Loss: 0.6006, Validation Loss: 0.2409

Epoch [8/250], Progress: 1/13, Train Loss: 0.0539
Epoch [8/250], Progress: 2/13, Train Loss: 0.3926
Epoch [8/250], Progress: 3/13, Train Loss: 0.7171
Epoch [8/250], Progress: 4/13, Train Loss: 0.8476
Epoch [8/250], Progress: 5/13, Train Loss: 0.8271
Epoch [8/250], Progress: 6/13, Train Loss: 0.0869
Epoch [8/250], Progress: 7/13, Train Loss: 0.0461
Epoch [8/250], Progress: 8/13, Train Loss: 0.3138
Epoch [8/250], Progress: 9/13, Train Loss: 0.2172
Epoch [8/250], Progress: 10/13, Train Loss: 0.0423
Epoch [8/250], Progress: 11/13, Train Loss: 0.4986
Epoch [8/250], Progress: 12/13, Train Loss: 1.8462
Epoch [8/250], Progress: 13/13, Train Loss: 0.1671
Epoch [8/250], Train Loss: 0.4659, Validation Loss: 0.1979

Epoch [9/250], Progress: 1/13, Train Loss: 0.1865
Epoch [9/250], Progress: 2/13, Train Loss: 0.0657
Epoch [9/250], Progress: 3/13, Train Loss: 0.6239
Epoch [9/250], Progress: 4/13, Train Loss: 0.1826
Epoch [9/250], Progress: 5/13, Train Loss: 0.3432
