arg:  ['/var/spool/slurm/d/job09011/slurm_script', 'age', 'ContrastiveLearning_Model/saved_models/files99/NewRunCorrected/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 49493
The maximum number of lines among all files: 63914
/home/dsk2v/PointCloud/BodyScan/FourthDraftWithPartialMetaData/DataLoader/../../../Data/3dbsf_txt/
['0024rs22514', 'PSYPOOLS1701015', '1010 f14 01 009', '0021rs22514', 'PSYPOOLS1701021', 'PSYPOOLS1701024', '0016rs22514', '0023rs22514', '0036rs22514', '1010 f14 01 015', 'PSYPOOLS1701013', '0019rs22514', '006rs22514', '0022rs22514', 'PSYPOOLS1701035', '0038rs22514', 'PSYPOOLS1701004', '1010 f14 01 012', 'PSYPOOLS1701022', 'PSYPOOL51701003', '0031rs22514', '0025rs22514', '1010 f14 01 008', 'PSYPOOLS1701027', '0037rs22514', 'PSYPOOLS1701049', '007rs22514', '1010 f14 01 011', 'PSYPOOLS1701087', 'PSYPOOLS1701026', '1010 f14 01 020', '004rs22514', '0011rs22514', 'PSYPOOLS1701002', '0027rs22514', '1010 f14 01 019', 'PSYPOOLS1701018', '0012rs22514', 'PSYPOOLS1701012', '0028rs22514', 'PSYPOOLS1701031', 'PSYPOOLS1701009', '0034rs22514', 'PSYPOOLS1701055', 'PSYPOOLS1701029', 'PSYPOOLS1701036', 'PSYPOOLS1701028', '003rs22514', '1010 f14 01 006', 'PSYPOOLS17', 'PSYPOOLS1701011', '0026rs22514', '1010 f14 01 016', '0035rs22514', '0032rs22514', '002rs22514', '1010 f14 01 013', 'PSYPOOLS1701008', 'PSYPOOLS1701014', '0015rs22514', '1010 f14 01 010', 'PSYPOOLS1701054', 'PSYPOOLS1701006', '0040rs22514', '0042rs22514', 'PSYPOOLS1701017', 'PSYPOOLS1701005', '1010 f14 01 005', '0041rs22514', 'psy pool s17 01 001', '0030rs22514', 'PSYPOOLS1701037', '0014rs22514', '1010 f14 01 001', '1010 f14 01 002', 'PSYPOOLS1701030', '005rs22514', '0020rs22514', 'PSYPOOLS1701016', '0018rs22514', 'PSYPOOLS1701025', '0013rs22514', '0010rs22514', '1010 f14 01 017', '1010 f14 01 004', '0017rs22514', '008rs22514', '0039rs22514', '1010 f14 01 018', '009rs22514', '1010 f14 01 014', '1010 f14 01 003', '1010 f14 01 007', 'PSYPOOLS1701023', 'PSYPOOLS1701048', '0029rs22514']
Cuda available :-  True

device cuda 

[23179  4675  4396 ... 35522 22589 40606]
[19 18 19 21 18 28 19 19 18 20 19 21 19 20 22 21 19 19 20 23 18 27 20 19
 19 25 18 19 28 19 19 22 19 27 18 20 19 19 20 20 19 36 20 20 21 19 18 23
 23 20]
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/13, Train Loss: 1.4497
Epoch [1/250], Progress: 2/13, Train Loss: 0.7697
Epoch [1/250], Progress: 3/13, Train Loss: 0.7569
Epoch [1/250], Progress: 4/13, Train Loss: 3.7120
Epoch [1/250], Progress: 5/13, Train Loss: 4.3132
Epoch [1/250], Progress: 6/13, Train Loss: 1.1102
Epoch [1/250], Progress: 7/13, Train Loss: 12.3712
Epoch [1/250], Progress: 8/13, Train Loss: 0.5933
Epoch [1/250], Progress: 9/13, Train Loss: 5.2549
Epoch [1/250], Progress: 10/13, Train Loss: 0.1078
Epoch [1/250], Progress: 11/13, Train Loss: 2.4635
Epoch [1/250], Progress: 12/13, Train Loss: 2.1929
Epoch [1/250], Progress: 13/13, Train Loss: 0.5683
Epoch [1/250], Train Loss: 2.7433, Validation Loss: 1.5397

Epoch [2/250], Progress: 1/13, Train Loss: 0.7736
Epoch [2/250], Progress: 2/13, Train Loss: 7.3946
Epoch [2/250], Progress: 3/13, Train Loss: 2.6614
Epoch [2/250], Progress: 4/13, Train Loss: 2.1155
Epoch [2/250], Progress: 5/13, Train Loss: 0.2835
Epoch [2/250], Progress: 6/13, Train Loss: 2.5845
Epoch [2/250], Progress: 7/13, Train Loss: 4.1482
Epoch [2/250], Progress: 8/13, Train Loss: 0.1842
Epoch [2/250], Progress: 9/13, Train Loss: 0.5021
Epoch [2/250], Progress: 10/13, Train Loss: 0.3801
Epoch [2/250], Progress: 11/13, Train Loss: 0.2280
Epoch [2/250], Progress: 12/13, Train Loss: 1.5149
Epoch [2/250], Progress: 13/13, Train Loss: 0.2878
Epoch [2/250], Train Loss: 1.7737, Validation Loss: 0.5226

Epoch [3/250], Progress: 1/13, Train Loss: 0.4903
Epoch [3/250], Progress: 2/13, Train Loss: 0.1776
Epoch [3/250], Progress: 3/13, Train Loss: 0.2261
Epoch [3/250], Progress: 4/13, Train Loss: 0.2637
Epoch [3/250], Progress: 5/13, Train Loss: 0.7606
Epoch [3/250], Progress: 6/13, Train Loss: 0.3835
Epoch [3/250], Progress: 7/13, Train Loss: 2.3938
Epoch [3/250], Progress: 8/13, Train Loss: 2.8194
Epoch [3/250], Progress: 9/13, Train Loss: 0.0942
Epoch [3/250], Progress: 10/13, Train Loss: 0.5816
Epoch [3/250], Progress: 11/13, Train Loss: 0.5948
Epoch [3/250], Progress: 12/13, Train Loss: 0.3243
Epoch [3/250], Progress: 13/13, Train Loss: 2.1034
Epoch [3/250], Train Loss: 0.8626, Validation Loss: 0.3202

Epoch [4/250], Progress: 1/13, Train Loss: 1.1410
Epoch [4/250], Progress: 2/13, Train Loss: 0.2571
Epoch [4/250], Progress: 3/13, Train Loss: 1.0903
Epoch [4/250], Progress: 4/13, Train Loss: 1.5181
Epoch [4/250], Progress: 5/13, Train Loss: 0.3069
Epoch [4/250], Progress: 6/13, Train Loss: 0.1824
Epoch [4/250], Progress: 7/13, Train Loss: 0.4285
Epoch [4/250], Progress: 8/13, Train Loss: 0.0266
Epoch [4/250], Progress: 9/13, Train Loss: 0.2115
Epoch [4/250], Progress: 10/13, Train Loss: 0.0776
Epoch [4/250], Progress: 11/13, Train Loss: 1.9039
Epoch [4/250], Progress: 12/13, Train Loss: 0.1310
Epoch [4/250], Progress: 13/13, Train Loss: 0.5411
Epoch [4/250], Train Loss: 0.6012, Validation Loss: 0.2124

Epoch [5/250], Progress: 1/13, Train Loss: 1.3433
Epoch [5/250], Progress: 2/13, Train Loss: 0.0592
Epoch [5/250], Progress: 3/13, Train Loss: 0.2099
Epoch [5/250], Progress: 4/13, Train Loss: 0.2501
Epoch [5/250], Progress: 5/13, Train Loss: 0.1091
Epoch [5/250], Progress: 6/13, Train Loss: 0.5638
Epoch [5/250], Progress: 7/13, Train Loss: 0.0109
Epoch [5/250], Progress: 8/13, Train Loss: 0.2951
Epoch [5/250], Progress: 9/13, Train Loss: 0.6257
Epoch [5/250], Progress: 10/13, Train Loss: 0.3302
Epoch [5/250], Progress: 11/13, Train Loss: 0.4250
Epoch [5/250], Progress: 12/13, Train Loss: 0.2024
Epoch [5/250], Progress: 13/13, Train Loss: 0.7678
Epoch [5/250], Train Loss: 0.3994, Validation Loss: 0.1572

Epoch [6/250], Progress: 1/13, Train Loss: 0.4058
Epoch [6/250], Progress: 2/13, Train Loss: 1.0227
Epoch [6/250], Progress: 3/13, Train Loss: 0.1941
