Epoch [5/250], Progress: 4/13, Train Loss: 0.5711
Epoch [5/250], Progress: 5/13, Train Loss: 0.1656
Epoch [5/250], Progress: 6/13, Train Loss: 0.6772
Epoch [5/250], Progress: 7/13, Train Loss: 0.2621
Epoch [5/250], Progress: 8/13, Train Loss: 1.6018
Epoch [5/250], Progress: 9/13, Train Loss: 1.2327
Epoch [5/250], Progress: 10/13, Train Loss: 1.0911
Epoch [5/250], Progress: 11/13, Train Loss: 6.8541
Epoch [5/250], Progress: 12/13, Train Loss: 0.1199
Epoch [5/250], Progress: 13/13, Train Loss: 0.3192
Epoch [5/250], Train Loss: 1.0263, Validation Loss: 0.1568

Epoch [6/250], Progress: 1/13, Train Loss: 1.9331
Epoch [6/250], Progress: 2/13, Train Loss: 1.2427
Epoch [6/250], Progress: 3/13, Train Loss: 0.0592
Epoch [6/250], Progress: 4/13, Train Loss: 3.4926
Epoch [6/250], Progress: 5/13, Train Loss: 0.0734
Epoch [6/250], Progress: 6/13, Train Loss: 0.2059
Epoch [6/250], Progress: 7/13, Train Loss: 0.2038
Epoch [6/250], Progress: 8/13, Train Loss: 0.3864
Epoch [6/250], Progress: 9/13, Train Loss: 0.2520
Epoch [6/250], Progress: 10/13, Train Loss: 0.1228
Epoch [6/250], Progress: 11/13, Train Loss: 0.2013
Epoch [6/250], Progress: 12/13, Train Loss: 0.1373
Epoch [6/250], Progress: 13/13, Train Loss: 0.1247
Epoch [6/250], Train Loss: 0.6489, Validation Loss: 0.1048

Epoch [7/250], Progress: 1/13, Train Loss: 0.1247
Epoch [7/250], Progress: 2/13, Train Loss: 0.1196
Epoch [7/250], Progress: 3/13, Train Loss: 0.2592
Epoch [7/250], Progress: 4/13, Train Loss: 0.5522
Epoch [7/250], Progress: 5/13, Train Loss: 0.1097
Epoch [7/250], Progress: 6/13, Train Loss: 0.1903
Epoch [7/250], Progress: 7/13, Train Loss: 0.0368
Epoch [7/250], Progress: 8/13, Train Loss: 0.0600
Epoch [7/250], Progress: 9/13, Train Loss: 0.1364
Epoch [7/250], Progress: 10/13, Train Loss: 0.0027
Epoch [7/250], Progress: 11/13, Train Loss: 0.1187
Epoch [7/250], Progress: 12/13, Train Loss: 0.0735
Epoch [7/250], Progress: 13/13, Train Loss: 0.1507
Epoch [7/250], Train Loss: 0.1488, Validation Loss: 0.0989

Epoch [8/250], Progress: 1/13, Train Loss: 0.1705
Epoch [8/250], Progress: 2/13, Train Loss: 0.2368
Epoch [8/250], Progress: 3/13, Train Loss: 0.7499
Epoch [8/250], Progress: 4/13, Train Loss: 0.1729
Epoch [8/250], Progress: 5/13, Train Loss: 0.8290
Epoch [8/250], Progress: 6/13, Train Loss: 0.0436
Epoch [8/250], Progress: 7/13, Train Loss: 0.7001
Epoch [8/250], Progress: 8/13, Train Loss: 0.1090
Epoch [8/250], Progress: 9/13, Train Loss: 0.0554
Epoch [8/250], Progress: 10/13, Train Loss: 0.1055
Epoch [8/250], Progress: 11/13, Train Loss: 0.0247
Epoch [8/250], Progress: 12/13, Train Loss: 0.1367
Epoch [8/250], Progress: 13/13, Train Loss: 0.2368
Epoch [8/250], Train Loss: 0.2747, Validation Loss: 0.0785

Epoch [9/250], Progress: 1/13, Train Loss: 0.0536
Epoch [9/250], Progress: 2/13, Train Loss: 0.1304
Epoch [9/250], Progress: 3/13, Train Loss: 0.4753
Epoch [9/250], Progress: 4/13, Train Loss: 0.0596
Epoch [9/250], Progress: 5/13, Train Loss: 0.3056
Epoch [9/250], Progress: 6/13, Train Loss: 0.1710
Epoch [9/250], Progress: 7/13, Train Loss: 0.0616
Epoch [9/250], Progress: 8/13, Train Loss: 0.5080
Epoch [9/250], Progress: 9/13, Train Loss: 0.2552
Epoch [9/250], Progress: 10/13, Train Loss: 0.1098
Epoch [9/250], Progress: 11/13, Train Loss: 0.1191
Epoch [9/250], Progress: 12/13, Train Loss: 0.2085
Epoch [9/250], Progress: 13/13, Train Loss: 0.0106
Epoch [9/250], Train Loss: 0.1899, Validation Loss: 0.0625

Epoch [10/250], Progress: 1/13, Train Loss: 0.1123
Epoch [10/250], Progress: 2/13, Train Loss: 1.9961
Epoch [10/250], Progress: 3/13, Train Loss: 0.1369
Epoch [10/250], Progress: 4/13, Train Loss: 0.4620
Epoch [10/250], Progress: 5/13, Train Loss: 0.4434
Epoch [10/250], Progress: 6/13, Train Loss: 0.2553
Epoch [10/250], Progress: 7/13, Train Loss: 0.4110
Epoch [10/250], Progress: 8/13, Train Loss: 0.4793
Epoch [10/250], Progress: 9/13, Train Loss: 0.1087
Epoch [10/250], Progress: 10/13, Train Loss: 0.1829
Epoch [10/250], Progress: 11/13, Train Loss: 0.0279
Epoch [10/250], Progress: 12/13, Train Loss: 0.0768
Epoch [10/250], Progress: 13/13, Train Loss: 0.4102
Epoch [10/250], Train Loss: 0.3925, Validation Loss: 0.0597

Epoch [11/250], Progress: 1/13, Train Loss: 0.1903
Epoch [11/250], Progress: 2/13, Train Loss: 0.1497
Epoch [11/250], Progress: 3/13, Train Loss: 0.0306
Epoch [11/250], Progress: 4/13, Train Loss: 0.0197
Epoch [11/250], Progress: 5/13, Train Loss: 0.1146
Epoch [11/250], Progress: 6/13, Train Loss: 0.2435
Epoch [11/250], Progress: 7/13, Train Loss: 0.0430
Epoch [11/250], Progress: 8/13, Train Loss: 0.0132
Epoch [11/250], Progress: 9/13, Train Loss: 0.0730
Epoch [11/250], Progress: 10/13, Train Loss: 0.5682
Epoch [11/250], Progress: 11/13, Train Loss: 0.1718
Epoch [11/250], Progress: 12/13, Train Loss: 0.3043
Epoch [11/250], Progress: 13/13, Train Loss: 0.2417
Epoch [11/250], Train Loss: 0.1664, Validation Loss: 0.0611

Epoch [12/250], Progress: 1/13, Train Loss: 0.0227
Epoch [12/250], Progress: 2/13, Train Loss: 0.0401
Epoch [12/250], Progress: 3/13, Train Loss: 0.0840
Epoch [12/250], Progress: 4/13, Train Loss: 0.1657
Epoch [12/250], Progress: 5/13, Train Loss: 0.0591
Epoch [12/250], Progress: 6/13, Train Loss: 0.0070
Epoch [12/250], Progress: 7/13, Train Loss: 0.3439
Epoch [12/250], Progress: 8/13, Train Loss: 0.3818
Epoch [12/250], Progress: 9/13, Train Loss: 0.1399
Epoch [12/250], Progress: 10/13, Train Loss: 0.0418
Epoch [12/250], Progress: 11/13, Train Loss: 0.4756
Epoch [12/250], Progress: 12/13, Train Loss: 0.1087
Epoch [12/250], Progress: 13/13, Train Loss: 0.1698
Epoch [12/250], Train Loss: 0.1569, Validation Loss: 0.0586

Epoch [13/250], Progress: 1/13, Train Loss: 0.1377
Epoch [13/250], Progress: 2/13, Train Loss: 0.0720
Epoch [13/250], Progress: 3/13, Train Loss: 0.2567
Epoch [13/250], Progress: 4/13, Train Loss: 0.3356
Epoch [13/250], Progress: 5/13, Train Loss: 0.1205
Epoch [13/250], Progress: 6/13, Train Loss: 0.3366
Epoch [13/250], Progress: 7/13, Train Loss: 0.0936
Epoch [13/250], Progress: 8/13, Train Loss: 0.0747
Epoch [13/250], Progress: 9/13, Train Loss: 0.6704
Epoch [13/250], Progress: 10/13, Train Loss: 0.4760
Epoch [13/250], Progress: 11/13, Train Loss: 0.2686
Epoch [13/250], Progress: 12/13, Train Loss: 0.1882
Epoch [13/250], Progress: 13/13, Train Loss: 0.0828
Epoch [13/250], Train Loss: 0.2395, Validation Loss: 0.0484

Epoch [14/250], Progress: 1/13, Train Loss: 0.0488
Epoch [14/250], Progress: 2/13, Train Loss: 0.0046
Epoch [14/250], Progress: 3/13, Train Loss: 0.3660
Epoch [14/250], Progress: 4/13, Train Loss: 0.0416
Epoch [14/250], Progress: 5/13, Train Loss: 0.2112
Epoch [14/250], Progress: 6/13, Train Loss: 0.1189
Epoch [14/250], Progress: 7/13, Train Loss: 0.0160
Epoch [14/250], Progress: 8/13, Train Loss: 0.0963
Epoch [14/250], Progress: 9/13, Train Loss: 0.5866
Epoch [14/250], Progress: 10/13, Train Loss: 0.0811
Epoch [14/250], Progress: 11/13, Train Loss: 0.0568
Epoch [14/250], Progress: 12/13, Train Loss: 0.2324
Epoch [14/250], Progress: 13/13, Train Loss: 0.8790
Epoch [14/250], Train Loss: 0.2107, Validation Loss: 0.0477

Epoch [15/250], Progress: 1/13, Train Loss: 0.2566
Epoch [15/250], Progress: 2/13, Train Loss: 0.0501
Epoch [15/250], Progress: 3/13, Train Loss: 0.1314
Epoch [15/250], Progress: 4/13, Train Loss: 0.1773
Epoch [15/250], Progress: 5/13, Train Loss: 0.0339
Epoch [15/250], Progress: 6/13, Train Loss: 0.2586
Epoch [15/250], Progress: 7/13, Train Loss: 0.0325
Epoch [15/250], Progress: 8/13, Train Loss: 0.2966
Epoch [15/250], Progress: 9/13, Train Loss: 0.1282
Epoch [15/250], Progress: 10/13, Train Loss: 0.3305
Epoch [15/250], Progress: 11/13, Train Loss: 0.3160
Epoch [15/250], Progress: 12/13, Train Loss: 0.1375
Epoch [15/250], Progress: 13/13, Train Loss: 0.0401
Epoch [15/250], Train Loss: 0.1684, Validation Loss: 0.0435

Epoch [16/250], Progress: 1/13, Train Loss: 0.0171
Epoch [16/250], Progress: 2/13, Train Loss: 0.1163
Epoch [16/250], Progress: 3/13, Train Loss: 0.3331
Epoch [16/250], Progress: 4/13, Train Loss: 0.8051
Epoch [16/250], Progress: 5/13, Train Loss: 0.0553
Epoch [16/250], Progress: 6/13, Train Loss: 0.2971
Epoch [16/250], Progress: 7/13, Train Loss: 0.0658
Epoch [16/250], Progress: 8/13, Train Loss: 0.6084
Epoch [16/250], Progress: 9/13, Train Loss: 0.0732
Epoch [16/250], Progress: 10/13, Train Loss: 0.0479
Epoch [16/250], Progress: 11/13, Train Loss: 0.3727
Epoch [16/250], Progress: 12/13, Train Loss: 0.0681
Epoch [16/250], Progress: 13/13, Train Loss: 0.0602
Epoch [16/250], Train Loss: 0.2246, Validation Loss: 0.0451

Epoch [17/250], Progress: 1/13, Train Loss: 0.1294
Epoch [17/250], Progress: 2/13, Train Loss: 0.1013
Epoch [17/250], Progress: 3/13, Train Loss: 0.0698
Epoch [17/250], Progress: 4/13, Train Loss: 0.0228
Epoch [17/250], Progress: 5/13, Train Loss: 0.2437
Epoch [17/250], Progress: 6/13, Train Loss: 0.0750
Epoch [17/250], Progress: 7/13, Train Loss: 0.0152
Epoch [17/250], Progress: 8/13, Train Loss: 0.1031
Epoch [17/250], Progress: 9/13, Train Loss: 0.3489
Epoch [17/250], Progress: 10/13, Train Loss: 0.2394
Epoch [17/250], Progress: 11/13, Train Loss: 0.1531
Epoch [17/250], Progress: 12/13, Train Loss: 0.0202
Epoch [17/250], Progress: 13/13, Train Loss: 0.0083
Epoch [17/250], Train Loss: 0.1177, Validation Loss: 0.0406

Epoch [18/250], Progress: 1/13, Train Loss: 0.0977
Epoch [18/250], Progress: 2/13, Train Loss: 0.0270
Epoch [18/250], Progress: 3/13, Train Loss: 0.0795
Epoch [18/250], Progress: 4/13, Train Loss: 0.0705
Epoch [18/250], Progress: 5/13, Train Loss: 0.0161
Epoch [18/250], Progress: 6/13, Train Loss: 0.1194
Epoch [18/250], Progress: 7/13, Train Loss: 0.0721
Epoch [18/250], Progress: 8/13, Train Loss: 0.1660
Epoch [18/250], Progress: 9/13, Train Loss: 0.0250
Epoch [18/250], Progress: 10/13, Train Loss: 0.0733
Epoch [18/250], Progress: 11/13, Train Loss: 0.1471
Epoch [18/250], Progress: 12/13, Train Loss: 0.0533
Epoch [18/250], Progress: 13/13, Train Loss: 0.4145
Epoch [18/250], Train Loss: 0.1047, Validation Loss: 0.0420

Epoch [19/250], Progress: 1/13, Train Loss: 0.0692
Epoch [19/250], Progress: 2/13, Train Loss: 0.1394
Epoch [19/250], Progress: 3/13, Train Loss: 0.1381
Epoch [19/250], Progress: 4/13, Train Loss: 0.1315
Epoch [19/250], Progress: 5/13, Train Loss: 0.3331
Epoch [19/250], Progress: 6/13, Train Loss: 0.0375
Epoch [19/250], Progress: 7/13, Train Loss: 0.0247
Epoch [19/250], Progress: 8/13, Train Loss: 0.1053
Epoch [19/250], Progress: 9/13, Train Loss: 0.0810
Epoch [19/250], Progress: 10/13, Train Loss: 0.0434
Epoch [19/250], Progress: 11/13, Train Loss: 0.2804
Epoch [19/250], Progress: 12/13, Train Loss: 0.1266
Epoch [19/250], Progress: 13/13, Train Loss: 0.1638
Epoch [19/250], Train Loss: 0.1288, Validation Loss: 0.0380

Epoch [20/250], Progress: 1/13, Train Loss: 0.1836
Epoch [20/250], Progress: 2/13, Train Loss: 0.1918
Epoch [20/250], Progress: 3/13, Train Loss: 0.5430
Epoch [20/250], Progress: 4/13, Train Loss: 0.0460
Epoch [20/250], Progress: 5/13, Train Loss: 0.2168
Epoch [20/250], Progress: 6/13, Train Loss: 0.1245
Epoch [20/250], Progress: 7/13, Train Loss: 0.2084
Epoch [20/250], Progress: 8/13, Train Loss: 0.4185
Epoch [20/250], Progress: 9/13, Train Loss: 0.0454
Epoch [20/250], Progress: 10/13, Train Loss: 0.1705
Epoch [20/250], Progress: 11/13, Train Loss: 0.1043
Epoch [20/250], Progress: 12/13, Train Loss: 0.0658
Epoch [20/250], Progress: 13/13, Train Loss: 0.0139
Epoch [20/250], Train Loss: 0.1794, Validation Loss: 0.0445

Epoch [21/250], Progress: 1/13, Train Loss: 0.6050
Epoch [21/250], Progress: 2/13, Train Loss: 0.2330
Epoch [21/250], Progress: 3/13, Train Loss: 0.0483
Epoch [21/250], Progress: 4/13, Train Loss: 0.1226
Epoch [21/250], Progress: 5/13, Train Loss: 0.0869
Epoch [21/250], Progress: 6/13, Train Loss: 0.1419
Epoch [21/250], Progress: 7/13, Train Loss: 0.0686
Epoch [21/250], Progress: 8/13, Train Loss: 0.1541
Epoch [21/250], Progress: 9/13, Train Loss: 0.3854
Epoch [21/250], Progress: 10/13, Train Loss: 0.0801
Epoch [21/250], Progress: 11/13, Train Loss: 0.1568
Epoch [21/250], Progress: 12/13, Train Loss: 0.0237
