normalization: 0
(35708, 15000, 3)
(5158, 15000, 3)
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 55
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False

bs: 16 ss 2048 


Epoch [1/250], Progress: 1/135, Train Loss: 4.2009, Train Accuracy: 0.0625
Epoch [1/250], Progress: 2/135, Train Loss: 4.4282, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/135, Train Loss: 4.1925, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/135, Train Loss: 4.2061, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/135, Train Loss: 4.1781, Train Accuracy: 0.0625
Epoch [1/250], Progress: 6/135, Train Loss: 4.1132, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/135, Train Loss: 4.1113, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/135, Train Loss: 4.1008, Train Accuracy: 0.0625
Epoch [1/250], Progress: 9/135, Train Loss: 4.1987, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/135, Train Loss: 4.1633, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/135, Train Loss: 4.1662, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/135, Train Loss: 4.2406, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/135, Train Loss: 4.3075, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/135, Train Loss: 4.0952, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/135, Train Loss: 3.8710, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/135, Train Loss: 3.9961, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/135, Train Loss: 4.0170, Train Accuracy: 0.0625
Epoch [1/250], Progress: 18/135, Train Loss: 4.1644, Train Accuracy: 0.0625
Epoch [1/250], Progress: 19/135, Train Loss: 3.9893, Train Accuracy: 0.1250
Epoch [1/250], Progress: 20/135, Train Loss: 4.2310, Train Accuracy: 0.0000
Epoch [1/250], Progress: 21/135, Train Loss: 4.1359, Train Accuracy: 0.0625
Epoch [1/250], Progress: 22/135, Train Loss: 3.9509, Train Accuracy: 0.0000
Epoch [1/250], Progress: 23/135, Train Loss: 4.0711, Train Accuracy: 0.0000
Epoch [1/250], Progress: 24/135, Train Loss: 4.0176, Train Accuracy: 0.0000
Epoch [1/250], Progress: 25/135, Train Loss: 4.1935, Train Accuracy: 0.0000
Epoch [1/250], Progress: 26/135, Train Loss: 4.1416, Train Accuracy: 0.0000
Epoch [1/250], Progress: 27/135, Train Loss: 4.0980, Train Accuracy: 0.0000
Epoch [1/250], Progress: 28/135, Train Loss: 3.8664, Train Accuracy: 0.0625
Epoch [1/250], Progress: 29/135, Train Loss: 4.2422, Train Accuracy: 0.0000
Epoch [1/250], Progress: 30/135, Train Loss: 4.1554, Train Accuracy: 0.0000
Epoch [1/250], Progress: 31/135, Train Loss: 3.9653, Train Accuracy: 0.0000
