0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0.9987828135490417,7.173099885223016e-26,7.663899049615338e-15,1.1280826977744012e-17,3.117631877103122e-07,4.791276264626276e-10,3.983387850793329e-22,0.00012007128680124879,3.687220446181675e-16,3.4635542015359083e-26,1.7322602347389783e-28,8.348583109551999e-12,4.672206936402874e-17,1.2280605774000989e-29,4.078488588521445e-11,2.3729174755777538e-36,2.07168282528869e-09,4.2767102793189737e-13,4.967709747517354e-20,5.02753688997786e-26,1.5110929868500378e-11,7.872279238972128e-34,1.987580677833447e-17,0.0010907622054219246,4.4946069977826186e-13,4.0874760908621964e-22,9.339948245887589e-24,1.693660180990264e-07,1.0801856976626445e-21,1.902501590072223e-35,1.9461426561907777e-25,3.359278479056747e-30,1.4419361997173415e-26,1.54299749130229e-21,6.927445641108799e-25,1.3829127928610395e-28,1.34574290399331e-23,2.373363674137281e-19,1.7978500181925483e-06,2.227697232890178e-20,2.649516240085803e-12,3.8270892619200793e-23,4.906823211636713e-11,1.0825405673715868e-22,1.3318071645507246e-10,1.7858641613015552e-21,2.2954749747038282e-29,9.1925179259708e-42,2.9176016793066777e-22,2.2305027650649526e-28,1.1114605363231257e-20,5.580666233227301e-18,9.675965896162862e-42,1.1455330236411797e-24,2.1462131596120974e-23,3.9232622609925765e-22,1.5096587445973894e-37,1.4291680727751555e-08,7.349420255646663e-20,1.2669122643670926e-30,1.2337286945507244e-28,1.3296198586587593e-09,5.475778298065393e-32,6.4635707769355555e-25,4.1030261854757555e-06,1.4957206851633719e-33,4.2750594206710475e-26,9.14990652689518e-12,2.8616028741141274e-17,3.9073666249386767e-39,9.670713665629882e-13,3.294225058274755e-32,1.386439607004938e-23,3.5224439497732927e-41,2.582704187113665e-36,4.415949670194729e-26,9.850506123494774e-25,5.38794562063893e-24,1.7301628941406457e-25,4.805852021766221e-23,6.17983064778842e-32,2.5310813382020576e-40,4.657693051630396e-29,6.552022298971527e-25,5.455917410688895e-36,8.180643145790849e-16,3.2014344975657636e-39,2.2238544325625352e-32,2.2836669469322225e-21,1.1080054929113459e-10,3.849084243814128e-21,5.08953529254703e-19,3.350880987615379e-12,5.180177467534186e-11,8.751586292858921e-36,7.214221583103027e-22
2.4637797010895746e-11,0.9654133915901184,2.896997641776977e-10,5.033368211115885e-07,8.22097077912698e-12,1.1340990834632424e-15,2.2715796257899434e-12,7.233789262039991e-11,1.0573991335305344e-11,0.0055527943186461926,2.3200428245218063e-09,1.0690358320797344e-10,2.178652223905342e-12,0.00828394666314125,1.3807358034689798e-10,2.7122654500999488e-05,3.3415481492937715e-10,6.157187606992132e-12,9.096420683363249e-08,6.403158891998828e-08,1.8578704113342281e-13,1.0039549486889898e-12,2.2695575196962636e-08,1.3277576815795555e-09,1.3991476635055733e-06,4.503355199858561e-08,7.151955777366187e-18,1.4929804059704566e-09,0.0004727334307972342,7.061245910622703e-19,5.55946968461285e-08,0.000152689462993294,3.249399013749432e-11,1.1934530448343139e-05,0.00026086176512762904,3.2233191404884565e-07,3.2656842563483224e-07,0.010794173926115036,5.304308381415268e-11,1.8391237972537056e-06,7.225967380009024e-08,4.690837227554385e-16,1.9094350063065412e-16,4.370615848403592e-12,1.041767561105189e-09,4.790171894124978e-14,3.71393157723378e-15,2.2991148540540962e-08,3.7432001400404535e-13,1.9199527732312755e-16,2.097597442962673e-11,7.481964266892183e-13,8.105566380510964e-16,5.413386325131315e-18,3.5717118824184213e-13,2.8397766982379835e-07,3.1767612845845505e-11,3.946114226033089e-19,7.562874805577824e-12,2.585898073448334e-07,5.754551790628176e-16,4.486353415570949e-16,5.652195933514292e-10,5.016370892008126e-07,2.119462806149386e-06,0.007338263094425201,1.0398976509582252e-16,7.866565038261442e-11,2.719595215694426e-07,2.6677617892545413e-09,2.1719090284935683e-13,1.8969716075734055e-10,2.3807805761750406e-20,1.670196336648385e-14,3.9407804276747616e-12,1.1014336888134794e-18,0.0016773033421486616,2.17544766922817e-11,1.5730680651739364e-17,1.0081355645034581e-13,1.6186061009299674e-14,1.0000861765243826e-13,1.8930805274069984e-12,6.617536379982525e-13,1.1959565282548823e-12,4.216838649062063e-16,6.606745046155993e-06,7.879377624539843e-14,2.295783463508727e-13,4.643958189088596e-16,1.7980689853702714e-11,2.4696804117822074e-14,2.3370809287825978e-08,1.0173720710326961e-07,8.596409716878084e-13,8.339500518910085e-19
2.136476099768748e-16,1.5339736184204876e-26,0.9999266862869263,9.897216690941466e-17,2.4543561034587194e-15,8.517519092513388e-19,5.94182695976628e-21,7.08121608547404e-16,2.7338978342389647e-16,2.0219632825389966e-25,9.000307443773892e-12,5.495030109159416e-06,2.1436446636962527e-30,1.7905545277294412e-17,2.385265624419546e-17,6.9476290518141665e-28,1.0346010750591009e-13,3.7670861985361626e-09,1.1247093104798028e-18,5.197205513174374e-13,5.64209866257493e-19,4.010178300539735e-10,1.5581040621668978e-14,1.5195014203481662e-18,3.2859555300569797e-24,3.5937386326107415e-30,9.849729253275313e-23,1.1197374921326452e-21,1.867002527805292e-25,4.1243940239200707e-22,4.267725495915586e-12,1.8853295660758995e-12,6.016931793845054e-23,3.9453873733815506e-21,1.5273393824635168e-35,1.0997132648087518e-16,3.365396139543009e-08,8.224741417442449e-14,1.0820744257220016e-14,6.020291687044987e-13,3.856982788708052e-11,2.0421806289003566e-24,1.0610830971545548e-24,2.7004957380083025e-20,1.4310591636890246e-26,2.7062061418046615e-22,2.733817133174915e-14,1.194812119149637e-23,1.1279212698382668e-14,6.816005008666859e-13,2.9685947125044586e-29,3.328044613226666e-06,5.798654513505693e-35,2.028715808628172e-25,2.588637199721435e-25,1.381271527062226e-38,3.0050850696738962e-09,1.3273844709824328e-29,5.951119237579405e-05,2.4812715494456142e-14,5.961549222652872e-31,9.452508504979732e-22,2.1718510207026445e-24,7.744666853725939e-29,8.981525349295896e-24,7.302111340722312e-20,1.5967952058260765e-13,8.846949490641085e-21,5.012049768993165e-06,1.9476779100127054e-35,3.2455314100667757e-16,8.56661668923008e-36,9.073906068992393e-35,2.0157591054979539e-22,1.740840989309427e-26,3.2420615156101107e-19,1.0829217313146657e-35,1.1649067014162956e-29,1.1369806871300253e-28,1.9792472685970306e-28,2.327025119619637e-18,2.0356234037861254e-32,0.0,3.095247813627488e-20,2.967577340011336e-28,2.9748629209202926e-37,1.3091647000347084e-15,2.760094342534185e-24,2.510797343863492e-22,5.031028807821155e-19,2.5363158684399423e-08,1.7531155194205894e-08,6.236785112327286e-33,1.8053589057781958e-28,3.654993903106915e-18,5.268882225861312e-43
2.896684628272972e-12,1.018401671586816e-13,8.24685597589081e-11,0.9999610185623169,6.158465453154349e-07,9.568845178348125e-17,9.668761791203906e-09,1.712376462847942e-09,6.802196583777231e-10,1.1448121775091024e-17,1.4335996443127234e-19,4.841252724228917e-13,1.2362879876504162e-19,2.8608480168168526e-11,3.279349719293584e-13,7.443040428128444e-19,5.539238772528376e-13,4.6728476665348906e-14,5.419836129373634e-13,1.466081047524475e-14,7.90443438377893e-15,8.38838697583003e-17,1.871487036914487e-18,2.5084971877475937e-09,3.4698601769633797e-09,1.4056918335499796e-15,3.173253260224679e-23,3.4899140208163567e-15,6.1673705524601374e-18,4.885835654465756e-24,1.9749744452981387e-17,5.2447139751166105e-06,1.8353993956860888e-20,3.3519975684015435e-10,2.507450943901834e-19,3.7406075459323063e-10,2.185431746681843e-08,3.2681743533657936e-08,2.331287385359815e-09,4.794802421770328e-08,1.3353401300264522e-05,9.93439945209246e-17,1.1868373839263313e-08,4.0637133563464105e-18,6.771515472792089e-07,1.4778221701927663e-10,6.58393652097633e-12,1.6602926580224983e-14,4.3036798761221864e-14,1.2367150074407327e-15,1.2835754148454726e-07,2.4339434141111907e-14,3.4780027267030743e-32,2.542734074436342e-19,1.3200869781313158e-15,2.151009845772784e-14,2.477420810612454e-15,2.7747448979700886e-18,1.1900049732237444e-14,1.637124897452269e-12,5.434566100089022e-13,1.78258935390474e-11,1.3971170013875691e-15,1.1277503453657745e-12,4.4133588450456784e-10,4.878138865072046e-11,9.163032024190835e-18,1.8674880266189575e-05,2.3327492349356667e-14,9.705254550887268e-20,1.8047575878199495e-08,8.853001835473816e-19,6.205118387183195e-21,7.493534254142896e-16,3.830990280562219e-08,3.003263870232642e-12,1.0524116994536925e-10,3.998176367758788e-08,1.671712584331965e-26,4.4172003884425764e-17,9.834944273909296e-14,1.0720599882738385e-17,1.8627226142399743e-22,1.6335130513306934e-23,1.7475329429112104e-20,8.16801270717149e-13,1.423090624822967e-17,5.282381240378386e-25,1.3374078690885045e-21,1.1067871810584073e-17,2.348871321240526e-14,5.735372582422175e-17,3.2423261844548063e-16,1.1528231735874947e-17,2.503188637301713e-19,6.530791685429314e-24
1.1754703336919192e-05,3.603172609373632e-17,1.5800717401148745e-09,2.0356194454507204e-06,0.9679890871047974,1.5229014230233595e-11,1.1930281523971076e-13,0.028604289516806602,0.0004997042124159634,6.07539667619249e-20,1.9289041247736303e-17,4.3846304365047217e-10,3.235442447044617e-21,1.3460842456973428e-16,2.7458745455351263e-13,7.331741045858126e-27,4.497079791887515e-12,4.043230160399869e-12,2.9187824784194068e-18,1.1035214926795632e-18,4.717065280046562e-11,6.230156998922333e-20,8.670715445006742e-15,1.3252483554992978e-08,0.0005442955298349261,7.895677877009622e-23,1.6909022719778513e-22,1.2853311622505748e-14,6.667709047333889e-20,1.5489978071611161e-22,2.1750288209066398e-18,5.229315678395574e-12,8.00476093189486e-24,1.2186817554030275e-16,2.792401628147923e-23,4.304238632180102e-10,8.908028092946552e-09,1.211435639303371e-11,0.00037280135438777506,5.278388570673087e-08,0.0018284149700775743,2.8026476972531356e-11,4.252963208273286e-07,8.804811941392002e-14,2.0836580461036647e-06,9.762693300538702e-17,8.745128644675748e-14,2.1265558237535307e-20,1.5189608909050873e-16,1.9306570197533037e-16,4.6854441393406887e-07,4.200531311671085e-10,1.9878566398274848e-33,1.323395198482896e-18,8.458637791572449e-19,1.2624324629665902e-16,7.908437153104382e-21,5.234425306394064e-12,6.735941557138581e-13,3.1589363201932124e-15,3.454329796125289e-16,0.0001357264700345695,7.028062526374373e-21,5.748765352642238e-10,1.3466090820202226e-07,1.2559543076880603e-21,1.6893608382448399e-15,1.7014530158121488e-06,8.598551964845644e-14,6.3320183602286365e-25,6.374613803927787e-06,2.1476721196458536e-26,2.8235781775164043e-19,1.1989331442957296e-22,6.786687377241551e-17,7.462964708021547e-13,3.717141832103874e-15,1.0079663612019146e-13,2.0834573813355934e-23,1.4417040084027576e-17,1.028073521827989e-18,1.2008908044190737e-17,7.647000678463553e-24,1.08102479323031e-21,2.689186836158677e-17,6.157543452900427e-07,6.426788453011593e-22,7.998255787655181e-25,8.938976920391047e-19,6.36304247139674e-12,2.332316804964929e-11,3.0495739397271016e-13,1.8567879872533055e-11,7.47262884572995e-15,8.75886856993636e-25,2.700106543067748e-22
4.3547876416027975e-10,5.097797696351895e-38,1.1098523418316144e-15,1.8276762208618905e-28,1.306470394108611e-13,0.9999979734420776,6.590463720005369e-34,6.700335015246935e-17,7.13044616045827e-20,0.0,1.7712312393854844e-25,1.3871058131048521e-14,8.967770689773106e-20,1.234925581958336e-32,2.92755067563053e-17,6.64753570700264e-39,5.5604433830039155e-21,1.941953368944649e-11,8.017602031154586e-39,6.1973854804236e-33,2.6219927031956473e-21,1.1561085994327948e-22,2.5029833335968587e-28,2.3348003201096027e-20,4.3798253874138466e-26,1.2430563118137648e-30,6.3548206696850684e-09,1.250802861901008e-18,1.1380664551732629e-24,9.958070778909642e-23,5.191144053270853e-25,2.200245936321132e-36,9.247255760956138e-19,2.3297201063670773e-20,6.5428342730723586e-37,9.262198416329588e-32,1.3903652269290945e-27,1.9493603067068963e-40,6.912442245265993e-07,9.315036813823033e-38,3.6004947847445197e-25,2.621435139841934e-19,9.072199657168511e-20,3.296121511632723e-16,1.268528644588251e-34,1.2462212118856534e-18,5.890281280674395e-19,3.951661669395984e-43,1.0052595031080096e-25,2.869136948423917e-13,6.749319211535464e-36,1.252163216863833e-11,1.3870179221671506e-26,1.216113673763175e-06,4.044304770924992e-31,5.720106690583354e-27,2.896361172013922e-38,7.652758426957007e-08,8.980779397375209e-20,7.709359639983208e-25,2.244737102635331e-29,2.999431103489769e-08,7.374649301442902e-38,4.228271611659189e-30,7.830028432296211e-30,1.4078845671071437e-41,2.295124810688942e-12,1.2883636652714538e-17,6.38785356039125e-23,6.483141544952775e-34,1.1379204523098707e-10,1.5407118645140112e-31,8.394143094102215e-16,5.310908867693073e-31,1.7111494553336416e-36,7.043829622825399e-19,1.1084270852809303e-42,3.3639195162385365e-36,8.625775734795806e-18,3.916127404995917e-14,2.2179357832883342e-27,3.290258838742063e-36,2.4095935593910378e-36,1.4623709505712725e-17,4.1790391608142576e-39,2.567174935091811e-19,0.0,2.294493682940969e-20,9.741962011394767e-13,4.299755218539758e-09,2.4687155509858683e-26,2.3338267031962215e-15,5.7661758837048546e-21,5.608970672770453e-22,2.7615015979312515e-32,1.3669735482446654e-11
7.703406246228894e-10,4.675981823965003e-13,1.0035055453272435e-08,1.6878669129027912e-08,5.2745043888080545e-09,8.837482256277484e-16,0.9635502696037292,1.7478880565136024e-08,3.772997132821601e-14,1.190677972884302e-10,1.7321028023601166e-17,7.99259058936741e-09,2.8202681956837096e-16,1.262789672642315e-16,6.554677838721545e-06,3.240045283546528e-17,2.89705548439656e-09,2.6107374942463402e-11,5.72142525925301e-05,8.783306526538581e-08,0.0003038604336325079,2.791702687163916e-14,1.572216523637593e-10,9.8268003512203e-07,1.1628102181224925e-13,7.542645952263172e-10,6.578173612270343e-21,1.2192138965083643e-10,2.8643786350483837e-21,2.543761035145309e-10,5.103810576207943e-15,7.416946501415111e-10,6.28748824094353e-19,6.156764194491799e-17,1.3989251380561174e-12,1.847649997444023e-07,1.6018172302890293e-13,7.257708656283057e-09,4.650828167029886e-09,0.03173692524433136,6.624953474698714e-09,6.326869366954369e-13,2.8145101168775e-05,3.8193777484807767e-19,0.001133717130869627,1.1075655237391402e-07,2.4896283553274014e-16,1.4022263168309013e-13,0.00013239104009699076,2.8315671916836083e-15,3.403810478630476e-05,4.645141216119697e-11,3.2344323011891506e-21,8.653525162805122e-18,0.002960429759696126,6.918981702009122e-19,7.796734785570081e-11,1.400338092011344e-11,6.060654644812757e-09,4.772231270434011e-16,3.629195362009341e-07,5.27842658470945e-10,5.396795677370392e-05,2.0910937949905368e-16,1.5373670392282435e-10,1.6688351811566804e-09,4.499698949050532e-16,1.5605758005299286e-11,3.095458611657165e-11,5.954623007633949e-19,6.580804651212802e-11,2.3925544212488603e-08,7.181274238460267e-12,1.0829509790909567e-17,1.2420147132985448e-09,6.268962238209497e-08,3.4923335057168714e-11,1.4258482394780003e-07,1.7227152592901723e-14,2.4539627959312555e-20,7.082913422440384e-11,4.4774475532754174e-20,1.840692888095772e-14,3.6311971576546834e-18,9.68366532794196e-12,3.3545926453326658e-12,2.1396460991862654e-12,4.112435044058214e-21,6.711894037126751e-18,2.5883095666756617e-09,5.303517696120252e-07,3.737763987210485e-10,3.522426257831676e-21,6.893969309263934e-14,5.5614894634015144e-11,1.8473531895132458e-19
2.2086982426117174e-05,7.447056390002389e-19,2.923694619738626e-11,3.7850236454198966e-14,0.0001086561314878054,2.0162156666447828e-11,1.0230034630199524e-17,0.9993333220481873,1.71198638598824e-10,2.514656850259907e-20,4.599135817827359e-22,6.275847397319012e-08,1.3145804922113192e-24,2.9622200055156636e-21,1.2716100416566845e-13,2.7952896431480386e-30,1.2601264476330698e-10,1.1424622359257341e-10,4.726491408564218e-19,1.5724506989237575e-19,2.9597501532974135e-11,1.9647636254138823e-26,2.0912236785991523e-12,1.4973972062293228e-09,1.133471187131363e-06,4.786248875418244e-30,7.782628054784004e-26,7.796904398157944e-15,9.50630404263634e-20,3.919098677216648e-28,5.491264139032263e-18,1.895921125028691e-18,2.553263875544468e-27,1.6379672162235933e-20,4.927147807034115e-25,1.9033632689998305e-18,5.988248959198916e-12,1.20083956667294e-10,5.074889486422762e-07,1.421789335570578e-11,0.0005339725757949054,2.7454488490104512e-17,7.581632370523561e-12,8.134868443073654e-19,2.90644486256042e-09,8.343718685650224e-25,4.0705692239414997e-22,2.3854431463637868e-31,3.3913025377412396e-17,3.6641901160806646e-23,5.342499907942113e-16,6.106586590559626e-13,2.51042619883791e-41,1.2541284638793773e-23,3.724578617443909e-22,1.4161410089474142e-22,1.495819232144526e-27,1.0241178056687259e-14,2.7589004468968987e-15,1.6623894309840534e-22,9.981704538870475e-25,7.423162085018475e-11,1.6099020105639307e-24,3.700821363403578e-18,1.5336368619500718e-07,1.5952041698820065e-26,1.4838223029447926e-19,4.981520025041514e-14,2.6882718327878724e-14,1.614862090006429e-36,4.3175096202212326e-13,9.434386151269181e-33,4.949171718824141e-24,2.2275748813664373e-34,2.221375168039857e-31,2.51499256926633e-20,1.1320478369525746e-22,9.417811972676523e-25,4.051228150683154e-26,2.499892566555367e-25,1.3523979909695487e-25,3.967451244141818e-32,2.1871983723312447e-35,2.8783623494857913e-22,7.857421436322205e-24,2.482407895760426e-17,9.094238978725232e-25,2.049645317537268e-31,2.460314436358476e-21,6.876429287094865e-11,1.4481360446731706e-13,4.461070540886592e-15,2.395506319349816e-12,9.921126445808985e-16,4.711261444882566e-27,6.487452135634486e-30
6.371836835938893e-09,1.2895433723939757e-14,2.189970444987921e-07,1.7783283965400187e-06,0.0028950292617082596,2.736401660818899e-10,7.30955419813673e-17,8.149261702783406e-05,0.9918564558029175,9.060509268667664e-20,9.803670375507778e-11,4.330029043653205e-11,7.302300816781375e-19,1.81073001037646e-09,1.028938016061666e-13,2.1534814897326694e-19,3.950927692647488e-12,2.7192048959734372e-11,5.440848721468075e-19,6.557214571301785e-18,1.1673913958177174e-15,9.792461167033167e-14,7.519812921935869e-16,4.855620246158043e-12,0.0001025161036523059,4.006102942786987e-23,1.7201330687625558e-16,6.018234735295216e-15,6.258075654907991e-13,6.877530195173927e-21,1.7233975748223718e-12,2.5919421275943932e-08,7.550882487487851e-17,4.325953206762989e-10,9.944974425705525e-23,5.797842916877016e-08,0.004282472655177116,5.061715803444944e-12,4.9351747293258086e-05,4.0180520022303767e-10,5.941009931120789e-06,4.7742631181790784e-08,3.052267466552294e-11,3.229636604373809e-06,1.441502516311144e-12,9.729760924247251e-17,4.788624892171356e-07,1.0522287251582552e-12,9.327973492695134e-17,3.98984928429158e-10,3.889008906576841e-11,2.1004376549171866e-07,9.83719409571917e-27,2.4657671195658926e-13,9.730896503641558e-20,2.4877425119917973e-10,1.3143372126062352e-15,1.0678767135700092e-14,9.041585839406063e-13,6.218280759640038e-06,5.611040057166064e-17,2.2946095157294621e-07,6.120715834002739e-20,6.2862629420124e-05,4.08698595799617e-12,3.791568287838504e-17,5.776604888874104e-12,0.00011068439926020801,4.5479696397787706e-11,3.718516328349251e-17,0.0005406494019553065,3.61936451509111e-23,2.1233819382055133e-18,7.483277235723063e-14,1.8160710565581772e-12,1.496014900501108e-12,2.456888520212773e-14,3.0437328513448127e-15,9.420099827073845e-22,7.925149252130392e-12,6.5023996149787214e-15,2.589674075181847e-08,8.482436720389718e-24,3.9107598028695365e-18,3.268703531586134e-14,5.707144201672065e-10,4.1632063095520437e-17,4.1576201934393506e-17,9.87855413789318e-13,8.9071740095952e-15,9.168577702611813e-11,9.18831233320816e-10,2.217295236306427e-10,3.803625166567959e-15,2.3463258783331144e-21,5.637831961577805e-19
4.910763093911308e-13,1.4199817087501287e-05,1.2242500346815177e-09,2.1867263208519283e-11,2.210660277610684e-14,5.754339006687403e-18,2.209761366944729e-11,2.4629178362566007e-13,3.778011525517699e-16,0.9985910058021545,5.693893707220399e-12,2.323076397914292e-09,7.120870462295342e-14,1.4183365593112285e-08,3.56677048785059e-07,5.108091158945172e-07,2.639678484683827e-07,1.4774027834452141e-10,0.00011443923722254112,0.00010646258306223899,2.752686412144101e-10,1.0616993395551333e-12,0.00017726587248034775,3.482918380787181e-12,1.8153581068935942e-11,6.91552870524248e-10,5.962167928796198e-19,7.608228491662317e-10,7.417199077153214e-10,1.2517004562632047e-17,4.837805178681265e-08,1.1564340596237344e-08,7.429487933066983e-14,4.797778840881506e-11,9.513075929135084e-05,9.212314799889043e-10,9.555796258442495e-12,0.0006084303022362292,4.0794204494466746e-13,7.800457751727663e-06,1.019618486863827e-10,7.418165426898356e-20,1.4640889013059686e-18,2.345612695164316e-18,9.853795557290823e-11,1.536145601218101e-16,4.71838361684452e-21,1.8546251773915445e-12,3.9932221973515425e-09,4.074524710350055e-19,1.5156399923562584e-15,4.9226139657576606e-14,7.978331708619323e-17,5.186125576571631e-21,2.8503116533684647e-10,1.5467255297732518e-14,1.726283178904442e-11,5.949217382330915e-19,9.974252535016603e-10,9.901375509421828e-13,5.805867809356088e-18,5.189970528547453e-19,7.678276348066504e-10,4.185119488648876e-15,3.2675762096090466e-09,6.246885732252849e-06,7.855023729269921e-18,5.368689620732012e-18,1.642439019633457e-05,2.9297744679893177e-16,2.2339792534672726e-16,1.28131005805443e-10,9.887854711498027e-22,2.853865848009431e-20,1.648710324207787e-16,5.173146514993434e-20,1.5809818731948866e-10,1.712713192493506e-17,4.549804653649768e-16,1.2551651539576713e-20,1.2211626354961965e-16,4.0031683802195647e-23,3.1554415813668494e-17,9.410128926079508e-11,1.0868882833678373e-14,5.170632979481814e-23,0.0002613673568703234,6.5278372518469645e-18,1.965856744425877e-14,1.2552983385562527e-14,1.2098140267369217e-09,1.468538798324228e-14,2.2849583946189157e-17,1.3959670225327514e-11,3.543780546788611e-10,5.559187869852489e-22
